Country Code,Country Name,pop_change(%),Net Migration (% of population),Avg Birth Rate (per 1000),LE_change(%),gdp_change(%),Capital,Continent,2020 Population,1990 Population,Area (km²),Density (per km²),World Population Percentage
ALB,Albania,-13.155194730510061,-41.97355592565252,15.644666666666668,8.391665755222583,659.2517947330703,Tirana,Europe,2866849,3295066,28748,98.8702,0.04
DZA,Algeria,67.35341389792976,-2.8036199053105526,23.809833333333334,13.435979589414965,176.8267173999149,Algiers,Africa,43451666,25518074,2381741,18.8531,0.56
AGO,Angola,173.51913212662353,8.69960694148819,46.19669999999999,49.06547633256152,517.246067349179,Luanda,Africa,33428485,11828638,1246700,28.5466,0.45
ARG,Argentina,37.6897612472611,-0.8048430315164661,18.744500000000002,7.661874512426168,216.76594600713113,Buenos Aires,South America,45036032,32637657,2780400,16.3683,0.57
ARM,Armenia,-20.69250470752605,-41.20002991936355,14.94136666666667,9.616250853663844,503.46760304673916,Yerevan,Asia,2805608,3556539,29743,93.4831,0.03
AUS,Australia,48.49122139605399,21.048172111322287,13.48,7.669840782015081,347.03853786034927,Canberra,Oceania,25670051,17048003,7692024,3.4032,0.33
AUT,Austria,15.656336083669256,13.867906125039786,10.12,8.372333217572443,167.0989949718556,Vienna,Europe,8907777,7678729,83871,106.5877,0.11
AZE,Azerbaijan,39.70736704203367,-1.6198510152892385,17.733333333333334,17.240826276623057,443.84965530858886,Baku,Asia,10284951,7427836,86600,119.6082,0.13
BHR,Bahrain,188.777738694827,53.64291019215492,19.339166666666664,10.115869433588353,813.8359909523524,Manama,Asia,1477469,517418,765,1924.4876,0.02
BGD,Bangladesh,54.474895581238634,-9.675361722746453,25.5721,30.036257121934668,1011.571007509665,Dhaka,Asia,167420951,107147651,147570,1160.035,2.15
BLR,Belarus,-7.552887584171235,0.5002369817369542,10.716666666666667,4.786006951481041,197.5041440831409,Minsk,Europe,9633740,10428525,207600,45.9295,0.12
BEL,Belgium,15.265808594215189,10.86007183231787,11.403333333333334,7.814619657565165,160.95835037889856,Brussels,Europe,11561717,9959560,30528,381.8111,0.15
BEN,Benin,139.42023824667342,0.9710016659336681,41.252399999999994,13.439165353148674,634.2827304237646,Porto-Novo,Africa,12643123,5133419,112622,118.5635,0.17
BTN,Bhutan,37.42859598669154,-11.295715140119812,23.79176666666667,27.556818181818183,781.4826798044446,Thimphu,Asia,772506,558442,38394,20.3796,0.01
BOL,Bolivia,65.96664352750221,-5.101944741701185,28.22566666666667,20.23855942717382,740.156731203763,Sucre,South America,11936162,7096194,1098581,11.1272,0.15
BWA,Botswana,86.33995142656511,7.646252085298877,28.800299999999996,8.145969966794967,340.4599249653374,Gaborone,Africa,2546402,1341474,582000,4.5194,0.03
BRA,Brazil,40.526754907351474,0.027972685893502342,18.213133333333335,14.174433583390178,379.43315776272885,Brasilia,South America,213196304,150706446,8515767,25.2841,2.7
BGR,Bulgaria,-19.98704103523065,-5.333779362242379,9.386666666666665,4.8445851673034594,234.02273923162076,Sofia,Europe,6979175,8767778,110879,61.1654,0.09
BFA,Burkina Faso,129.44705613982407,-4.106086494033175,43.53743333333333,21.4381067961165,421.657326958371,Ouagadougou,Africa,21522626,9131361,272967,83.0641,0.28
BDI,Burundi,116.54424227902112,-6.909657795018513,43.43126666666667,38.990191707534564,127.58731510740586,Bujumbura,Africa,12220227,5483793,27834,463.0874,0.16
CMR,Cameroon,125.55702627701977,-1.3345117431309568,40.438333333333325,12.240285776773336,222.14897109901477,Yaounde,Africa,26491087,11430520,475442,58.7128,0.35
CAN,Canada,35.787954976787155,19.376371829552884,11.490000000000002,5.976120721696275,193.30392470493157,Ottawa,North America,37888705,27657204,9984670,3.8513,0.48
CPV,Cabo Verde,58.27991321115966,-13.614587194254844,26.4926,16.887870445842232,545.7814168797846,Praia,Africa,582640,364563,4033,147.0739,0.01
CAF,Central African Republic,85.43660324339025,-23.7640369917485,43.20476666666668,10.859272690641685,54.1808725305592,Bangui,Africa,5343020,2809221,622984,8.9555,0.07
TCD,Chad,176.7577662114521,5.0233910230671635,49.68469999999999,19.184979635680044,550.8061182098211,N'Djamena,Africa,16644701,5827069,1284000,13.8032,0.22
CHL,Chile,42.69409695127015,7.365684636937902,15.7954,10.68151128503322,741.293542826325,Santiago,South America,19300315,13342868,756102,25.9274,0.25
CHN,China,24.010183362183255,-0.9771680699036152,14.248999999999999,14.650393353429909,3857.207544241779,Beijing,Asia,1424929781,1153704252,9706961,146.8933,17.88
COL,Colombia,53.942520186177326,0.9940112792311433,20.161233333333332,11.811665986830612,575.339410165582,Bogota,South America,50930662,32601393,1141748,45.4339,0.65
COM,Comoros,83.4727766579529,-12.128090466858414,35.32173333333334,14.734957020057296,178.15594829027944,Moroni,Africa,806166,431119,1862,449.3953,0.01
CRI,Costa Rica,60.99191546719025,6.528254710028225,18.4995,3.650006524859712,1027.8219763625186,San José,North America,5123105,3158253,51100,101.3861,0.06
CUB,Cuba,6.493250949496926,-5.7506645399201775,12.100100000000001,4.824484393360259,261.0627464198938,Havana,North America,11300698,10626680,109884,102.0366,0.14
CYP,Cyprus,55.84476854787571,26.939091950969,13.25546666666667,10.68548661254571,364.02969765352015,Nicosia,Europe,1237537,788500,9251,135.2814,0.02
CZE,Czechia,3.2759447439868272,3.5185912076638077,10.296666666666669,10.990385201473433,520.0699886162216,Prague,Europe,10530953,10301192,78865,133.0627,0.13
DNK,Denmark,13.100388858922466,8.530143369990274,11.763333333333337,8.88419378006424,150.63762685627898,Copenhagen,Europe,5825641,5144623,43094,136.4984,0.07
DJI,Djibouti,86.07835085840814,7.308285594370527,30.181933333333333,13.670762910375139,582.8790264689804,Djibouti,Africa,1090156,577173,23200,48.3125,0.01
DOM,Dominican Republic,52.642388754445925,-10.06470198079095,23.893300000000004,9.63641782148711,1157.3562240477345,Santo Domingo,North America,10999664,7129004,48671,230.7087,0.14
COD,"Congo, Dem. Rep.",149.8278223566317,0.10246362684621053,44.760099999999994,24.022139462150978,453.7661433396219,Kinshasa,Africa,92853164,35987541,2344858,42.2244,1.24
ECU,Ecuador,65.97139266382815,-2.2093737700620544,23.62666666666667,11.462479090961525,609.4036823174714,Quito,South America,17588595,10449837,276841,65.0229,0.23
EGY,"Egypt, Arab Rep.",84.6008110163432,-0.12813717999858026,27.589533333333335,11.243101674305496,605.1853329911352,Cairo,Africa,107465134,57214630,1002450,110.7188,1.39
SLV,El Salvador,17.011506417058197,-35.99053384979784,23.8566,16.001598721023182,457.9845253390955,San Salvador,North America,6292731,5367179,21041,301.145,0.08
GNQ,Equatorial Guinea,233.59130832629864,39.09847516571055,39.847633333333334,21.203303185214313,10035.74202428551,Malabo,Africa,1596049,465549,28051,59.7094,0.02
SWZ,Eswatini,36.95526170037623,-23.89020885302803,31.694233333333333,-4.000190258751897,303.2700913267767,Mbabane,Africa,1180655,854011,17364,69.2047,0.02
ETH,Ethiopia,138.3566982739677,2.835371478704822,41.057733333333346,47.76129452162402,687.7722949920961,Addis Ababa,Africa,117190911,47878073,1104300,111.7268,1.55
FJI,Fiji,17.687044321720077,-35.22783927199738,23.99003333333333,3.6407766990291344,309.99054369061054,Suva,Oceania,920422,780430,18272,50.8847,0.01
FIN,Finland,10.732626200984232,5.889073287427519,11.110000000000005,9.583547963600662,89.84643448012557,Helsinki,Europe,5529468,4986545,338424,16.3722,0.07
FRA,France,16.096732068617253,3.0673436341983606,12.643333333333334,8.129019934725862,115.01047920704708,Paris,Europe,64480053,56412897,551695,117.1419,0.81
GAB,Gabon,128.1506732259915,13.559434474348016,33.153666666666666,10.43259106962246,183.49416415547256,Libreville,Africa,2292573,983028,267668,8.9252,0.03
GMB,"Gambia, The",141.0959470159982,-2.5210318413950814,41.64386666666666,24.232740310606225,471.965745154405,Banjul,Africa,2573995,1040616,10689,253.1567,0.03
GEO,Georgia,-22.528925447730114,-46.734601704896214,14.147366666666668,7.429557384959574,125.32317082560351,Tbilisi,Asia,3765912,5391636,69700,53.7214,0.05
DEU,Germany,4.607570737356623,9.848090081788826,9.123333333333331,8.266626299779336,119.46694361816816,Berlin,Europe,83328988,79370196,357114,233.4544,1.05
GHA,Ghana,104.06762952141719,-0.7365751804711812,34.26786666666666,16.396979503775615,1060.3924122935168,Accra,Africa,32180401,15446982,238533,140.3406,0.42
GRC,Greece,5.1466186620262535,3.7290852529933733,9.446666666666667,6.108733555257917,109.67893584608252,Athens,Europe,10512232,10302255,131990,78.68,0.13
GTM,Guatemala,83.46756919663451,-10.34799021335386,31.377033333333333,17.056968610439696,908.7471639877604,Guatemala City,North America,17362718,9084780,108889,163.8725,0.22
GIN,Guinea,102.66359990211113,-7.744490810061147,40.851866666666666,27.05301676453068,404.09142161555627,Conakry,Africa,13205153,6354145,245857,56.3716,0.17
GNB,Guinea-Bissau,102.39894982389212,-5.87090795948924,40.22513333333334,29.305071786594176,490.107668224906,Bissau,Africa,2015828,973551,36125,58.2856,0.03
GUY,Guyana,6.911510394637513,-43.79077399184536,24.24473333333333,10.749018665384916,1204.5868841810102,Georgetown,South America,797202,747116,214969,3.7621,0.01
HTI,Haiti,61.15385676150353,-9.491595297938396,29.98066666666666,21.293062765455392,377.5340920284658,Port-au-Prince,North America,11306801,6925331,27750,417.4773,0.15
HND,Honduras,97.07832647369982,-3.6999844724872255,29.813733333333335,11.707003050135656,409.64713112951523,Tegucigalpa,North America,10121763,5053234,112492,92.7431,0.13
