Country Code,Country Name,Capital,Continent,2020 Population,1990 Population,Area (km²),Density (per km²),World Population Percentage
ALB,Albania,Tirana,Europe,2866849,3295066,28748,98.8702,0.04
DZA,Algeria,Algiers,Africa,43451666,25518074,2381741,18.8531,0.56
AGO,Angola,Luanda,Africa,33428485,11828638,1246700,28.5466,0.45
ARG,Argentina,Buenos Aires,South America,45036032,32637657,2780400,16.3683,0.57
ARM,Armenia,Yerevan,Asia,2805608,3556539,29743,93.4831,0.03
AUS,Australia,Canberra,Oceania,25670051,17048003,7692024,3.4032,0.33
AUT,Austria,Vienna,Europe,8907777,7678729,83871,106.5877,0.11
AZE,Azerbaijan,Baku,Asia,10284951,7427836,86600,119.6082,0.13
BHR,Bahrain,Manama,Asia,1477469,517418,765,1924.4876,0.02
BGD,Bangladesh,Dhaka,Asia,167420951,107147651,147570,1160.035,2.15
BLR,Belarus,Minsk,Europe,9633740,10428525,207600,45.9295,0.12
BEL,Belgium,Brussels,Europe,11561717,9959560,30528,381.8111,0.15
BEN,Benin,Porto-Novo,Africa,12643123,5133419,112622,118.5635,0.17
BTN,Bhutan,Thimphu,Asia,772506,558442,38394,20.3796,0.01
BOL,Bolivia,Sucre,South America,11936162,7096194,1098581,11.1272,0.15
BWA,Botswana,Gaborone,Africa,2546402,1341474,582000,4.5194,0.03
BRA,Brazil,Brasilia,South America,213196304,150706446,8515767,25.2841,2.7
BGR,Bulgaria,Sofia,Europe,6979175,8767778,110879,61.1654,0.09
BFA,Burkina Faso,Ouagadougou,Africa,21522626,9131361,272967,83.0641,0.28
BDI,Burundi,Bujumbura,Africa,12220227,5483793,27834,463.0874,0.16
CMR,Cameroon,Yaounde,Africa,26491087,11430520,475442,58.7128,0.35
CAN,Canada,Ottawa,North America,37888705,27657204,9984670,3.8513,0.48
CPV,Cabo Verde,Praia,Africa,582640,364563,4033,147.0739,0.01
CAF,Central African Republic,Bangui,Africa,5343020,2809221,622984,8.9555,0.07
TCD,Chad,N'Djamena,Africa,16644701,5827069,1284000,13.8032,0.22
CHL,Chile,Santiago,South America,19300315,13342868,756102,25.9274,0.25
CHN,China,Beijing,Asia,1424929781,1153704252,9706961,146.8933,17.88
COL,Colombia,Bogota,South America,50930662,32601393,1141748,45.4339,0.65
COM,Comoros,Moroni,Africa,806166,431119,1862,449.3953,0.01
CRI,Costa Rica,San José,North America,5123105,3158253,51100,101.3861,0.06
CUB,Cuba,Havana,North America,11300698,10626680,109884,102.0366,0.14
CYP,Cyprus,Nicosia,Europe,1237537,788500,9251,135.2814,0.02
CZE,Czechia,Prague,Europe,10530953,10301192,78865,133.0627,0.13
DNK,Denmark,Copenhagen,Europe,5825641,5144623,43094,136.4984,0.07
DJI,Djibouti,Djibouti,Africa,1090156,577173,23200,48.3125,0.01
DOM,Dominican Republic,Santo Domingo,North America,10999664,7129004,48671,230.7087,0.14
COD,"Congo, Dem. Rep.",Kinshasa,Africa,92853164,35987541,2344858,42.2244,1.24
