Country Name,Country Code,POP_change,net_migration,mean_nat_birth_rate,LE_change,GDP_change
Angola,AGO,20524950.0,1921840.0,46.19669999999999,20.555,58080345183.0
Albania,ALB,-432351.0,-1288742.0,15.644666666666668,6.138000000000005,13373277004.0
United Arab Emirates,ARE,7311506.0,5397908.0,16.05343333333333,7.825999999999993,367288556252.0
Argentina,ARG,12301055.0,-312184.0,18.744500000000002,5.5,306403000000.0
Armenia,ARM,-735937.0,-1313692.0,14.94136666666667,6.617999999999995,11362452503.0
Australia,AUS,8275089.0,4462775.0,13.48,5.90536585000001,1080796000000.0
Austria,AUT,1202070.0,1148108.0,10.12,6.326829270000005,278158000000.0
Azerbaijan,AZE,2849083.0,-139303.0,17.733333333333334,10.750000000000007,39316229258.0
Burundi,BDI,6391045.0,-599711.0,43.43126666666667,17.491000000000007,1444417593.0
Belgium,BEL,1521601.0,1165088.0,11.403333333333334,5.943170729999991,330499000000.0
Benin,BEN,7157025.0,84593.0,41.252399999999994,7.161999999999992,12431721065.0
Burkina Faso,BFA,11820278.0,-617617.0,43.53743333333333,10.598999999999997,13076861388.0
Bangladesh,BGD,58368571.0,-13190608.0,25.5721,16.817,319639658767.0
Bulgaria,BGR,-1742528.0,-418543.0,9.386666666666665,3.4707317099999955,48283784306.0
Bahrain,BHR,976770.0,539542.0,19.339166666666664,7.350999999999985,34423530851.0
Belarus,BLR,-769590.0,49046.0,10.716666666666667,3.3902439000000015,42759647194.0
Bolivia,BOL,4681121.0,-481458.0,28.22566666666667,11.419000000000011,36027740246.0
Brazil,BRA,61076432.0,50699.0,18.213133333333335,9.353000000000009,1482544000000.0
Bhutan,BTN,209017.0,-74885.0,23.79176666666667,15.423000000000002,2247998885.0
Botswana,BWA,1158228.0,146853.0,28.800299999999996,4.930999999999997,12905361741.0
Central African Republic,CAF,2400103.0,-952765.0,43.20476666666668,5.390000000000001,780590005.0
Canada,CAN,9910092.0,6325646.0,11.490000000000002,4.626829270000002,1148090000000.0
Switzerland,CHE,1859761.0,1434402.0,10.726666666666665,6.662439029999987,455605000000.0
Chile,CHL,5696617.0,1192591.0,15.7954,7.7520000000000095,245471112181.0
China,CHN,272560000.0,-12424350.0,14.248999999999999,9.963000000000008,13919042000000.0
Cote d'Ivoire,CIV,14237011.0,-1282518.0,41.34010000000001,6.715999999999994,47743574823.0
Cameroon,CMR,14351821.0,-248305.0,40.438333333333325,6.715999999999994,27356495248.0
"Congo, Dem. Rep.",COD,53919349.0,64498.0,44.760099999999994,11.674999999999997,42426066146.0
"Congo, Rep.",COG,3185298.0,203160.0,37.0478,6.820999999999998,9951592972.0
Colombia,COL,17586013.0,411465.0,20.161233333333332,8.108000000000004,275265909290.0
Comoros,COM,359867.0,-74109.0,35.32173333333334,8.227999999999994,765397411.3
Cabo Verde,CPV,212467.0,-64097.0,26.4926,10.980999999999995,1674954633.7
Costa Rica,CRI,1926279.0,269055.0,18.4995,2.796999999999997,58705982296.0
Cuba,CUB,690017.0,-630945.0,12.100100000000001,3.5720000000000027,74782563431.0
Cyprus,CYP,440336.0,271726.0,13.25546666666667,7.85799999999999,20353374428.0
Czechia,CZE,338515.0,369544.0,10.296666666666669,7.845365849999993,211819049295.0
Germany,DEU,3659933.0,8002853.0,9.123333333333331,6.207048779999994,2116560000000.0
